"capture_id","label","line","recp_line"
0,"-1","AFRUNDING                0,10-","afrunding"
0,"-1","Alle dage kl. 08.00-20.00","alle dage kl"
0,"-1","Alle dage kl. 8.00 til 20.00","alle dage kl til"
0,"-1","Bager Søndag 8","bager søndag"
0,"-1","Bageren 7-18","bageren"
0,"-1","Bageren Lørdag........07.00-18.00 ","bageren lørdag"
0,"-1","Bageren Mandag-Fredag 07.00-20.00 ","bageren mandagfredag"
0,"-1","Bageren Søndag........08.00-18.00","bageren søndag"
0,"-1","Bageren åbner alle dage kl. 07.00","bageren åbner alle dage kl"
0,"-1","Du blev betjent af","du blev betjent af"
0,"-1","Fre kl. 8.30 - 19.00","fre kl"
0,"-1","Fredag kl. 8.30 - 19.00","fredag kl"
0,"-1","Hele ugen 8.00-20.00","hele ugen"
0,"-1","KONTANT          1.000,00","kontant"
0,"-1","Kiosk 7.00 – 22.00","kiosk"
0,"-1","Lør - Søn kl. 8.00 - 17.00","lør søn kl"
0,"-1","Lør kl. 8.30 - 19.00","lør kl"
0,"-1","Lør-Søn kl. 8.30 - 18.30","lørsøn kl"
0,"-1","Lørdag - Søndag kl. 8.00 - 17.00","lørdag søndag kl"
0,"-1","Lørdag - Søndag..... 8.00-18.00","lørdag søndag"
0,"-1","Lørdag kl. 8.30 - 18.30","lørdag kl"
0,"-1","Man - Fre kl. 8.00 - 17.00","man fre kl"
0,"-1","Man kl. 8.30 - 18.30","man kl"
0,"-1","Man-Fre kl. 8.00 - 17.00","manfre kl"
0,"-1","Man-Lør kl. 8.00 – 17.00","manlør kl"
0,"-1","Mandag - Fredag......8.00-20.00","mandag fredag"
0,"-1","Mandag - Torsdag kl. 8.30 - 18.30","mandag torsdag kl"
0,"-1","Mandag kl. 8.30 - 18.30","mandag kl"
0,"-1","Ons kl. 8.30 - 18.30","ons kl"
0,"-1","Onsdag kl. 8.30 - 18.30","onsdag kl"
0,"-1","PR. 100 G KR","pr g kr"
0,"-1","Søn kl. 8.30 - 19.00","søn kl"
0,"-1","Søndag kl. 8.30 - 18.30","søndag kl"
0,"-1","Tirs kl. 8.30 - 18.30","tirs kl"
0,"-1","Tirsdag kl. 8.30 - 18.30","tirsdag kl"
0,"-1","Tors kl. 8.30 - 18.30","tors kl"
0,"-1","Torsdag kl. 8.30 - 18.30","torsdag kl"
0,"-1","bageren åbner kl 7.00","bageren åbner kl"
17562,"100","                                BROCCOLISAL.            35,00       ","broccolisal"
23910,"100","                                CAESARSALAT             45,00       ","caesarsalat"
25407,"100","                                CHAMPIGN BRUNE          16,00       ","champign brune"
15736,"100","                                FRUGT/GRØNT             12,00       ","frugtgrønt"
15687,"100","                                GRØN PEBER               8,00       ","grøn peber"
15670,"100","                                GRØN SALAT              35,00       ","grøn salat"
16545,"100","                                GRØNK. 450 G            14,95       ","grønk g"
28362,"100","                                GRØNTSAGER               5,00       ","grøntsager"
26860,"100","                                GULERØDDER HÅNDSORT.    16,00       ","gulerødder håndsort"
16568,"100","                                INGEFÆR 350 G           18,00       ","ingefær g"
19886,"100","                                KIKÆRTER 1 KG ØKO       52,00       ","kikærter kg øko"
25247,"100","                                LAMMEFJORDS GULERØDD    12,00       ","lammefjords gulerødd"
15625,"100","                                MAJSFRYD                30,00       ","majsfryd"
15695,"100","                                SALAT/SENNEP            10,00       ","salatsennep"
25355,"100","                                SPINAT 250 G            19,00       ","spinat g"
15678,"100","                                STIR FRY MIX            15,00       ","stir fry mix"
10470,"100","                                TOMATER I BÆGER         20,00       ","tomater i bæger"
26841,"100","                                VITENDO TOMATER         25,00       ","vitendo tomater"
19797,"100","                                ÄNGLAMARK               14,95       ","änglamark"
15118,"100","                                ØKO BLADSELLERI         19,00       ","øko bladselleri"
19797,"100","                                ØKO BRUNE CHAMPIGNON    17,00       ","øko brune champignon"
19880,"100","                                ØKO CHAMPIGNON I SK.     9,00       ","øko champignon i sk"
19708,"100","                                ØKO CHILI               15,00       ","øko chili"
19725,"100","                                ØKO CHILIPEBER          12,00       ","øko chilipeber"
19717,"100","                                ØKO FENNIKEL            18,00       ","øko fennikel"
19770,"100","                                ØKO GLASKÅL GRØN         8,00       ","øko glaskål grøn"
19707,"100","                                ØKO GRØN HOKKAIDO       20,00       ","øko grøn hokkaido"
28373,"100","                                ØKO GRØNKÅL 300 G       20,00       ","øko grønkål g"
15453,"100","                                ØKO GRØNNE LINSE        25,95       ","øko grønne linse"
28301,"100","                                ØKO HAKKET SPINAT       16,95       ","øko hakket spinat"
10467,"100","                                ØKO IRMA GULERØDDER     12,00       ","øko irma gulerødder"
10463,"100","                                ØKO IRMAS LØG           13,00       ","øko irmas løg"
17990,"100","                                ØKO JORDSKOKKER         28,00       ","øko jordskokker"
15118,"100","                                ØKO KÅL                 18,00       ","øko kål"
19777,"100","                                ØKO KÅLRABI             20,00       ","øko kålrabi"
15112,"100","                                ØKO MYNTE               18,00       ","øko mynte"
28384,"100","                                ØKO PAPRIKA             21,95       ","øko paprika"
19711,"100","                                ØKO PEBERROD            17,00       ","øko peberrod"
19768,"100","                                ØKO PERSILLERØDDER      16,00       ","øko persillerødder"
19859,"100","                                ØKO RØD CHILI           14,00       ","øko rød chili"
19788,"100","                                ØKO SAVOY               20,00       ","øko savoy"
19725,"100","                                ØKO SNACKPEBER          18,00       ","øko snackpeber"
19320,"100","                                ØKO SPINAT 200 GR       20,00       ","øko spinat gr"
14696,"100","                                ØKO SØRIS RODMIX        35,00       ","øko søris rodmix"
19735,"100","                                ØKO TOMAT               20,00       ","øko tomat"
19867,"100","                                ØKO ÆRT, SUKKER         29,95       ","øko ært sukker"
19725,"100","                                ØKO. AGURK              12,00       ","øko agurk"
16581,"100","                                ØKO. INGEFÆR KINA       26,00       ","øko ingefær kina"
28406,"100","                                ØKO. INGEFÆR PERU       26,00       ","øko ingefær peru"
19725,"100","                                ØKO. PORRER             14,00       ","øko porrer"
26494,"100","                                ØKO. ROMANESCO          20,00       ","øko romanesco"
19312,"100","                                ØKO. RØDKÅL             20,00       ","øko rødkål"
12844,"100","                                ØKO. SPIDSKÅL           16,00       ","øko spidskål"
19582,"100","                                ØKO.SPIDSKÅL            18,00       ","økospidskål"
23843,"100","                                ØKOLOGISK SQUASH        20,00       ","økologisk squash"
14697,"100","                          COURGET                             6.00","courget"
9351,"100","                          KÅLSALAT                           15.00","kålsalat"
14693,"100","                          RODFRUGT MIX                       15.00","rodfrugt mix"
19715,"100","                          ØKO 365 ÆRTER 500 G                15.95","øko ærter g"
11367,"100","                          ØKO DATTERINO TOMAT                20.00","øko datterino tomat"
14688,"100","                          ØKO.PASTINAK                       10.00","økopastinak"
19717,"100","                        CL      ØKO LØG                 24,00-      ","cl øko løg"
19861,"100","                        CL      ØKO PEBER               18,00-      ","cl øko peber"
19572,"100","                        RE PR   ØKO ICEBERG             16,00-      ","re pr øko iceberg"
0,"100",". broccoli","broccoli"
0,"100","1 43.guler2oder","guleroder"
0,"100","1 k3.guler2dder","kgulerdder"
0,"100","2 agurker 6,00","agurker"
0,"100","21ttauerlog","ttauerlog"
0,"100","2k0.broccoli","kbroccoli"
0,"100","2x7,00 agurk","x agurk"
0,"100","3rocccli","rocccli"
0,"100","3x3,00 chili","x chili"
0,"100","4 majs","majs"
0,"100","8x2,75 tomater","x tomater"
0,"100","8x2,75.-tomater","xtomater"
25534,"100","ASPARGES M/H 9,95","asparges mh"
7814,"100","AUBERGINER 7,00","auberginer"
9943,"100","BASISSALAT 20) G - 10,00","basissalat g"
9703,"100","BASTISSALAT 200 G -- 5,00","bastissalat g"
9703,"100","BASTSSALAT 200 G - 10,00","bastssalat g"
25536,"100","BEAUV.BEARN.ESSENS 31,95","beauvbearnessens"
14408,"100","BINE 5,98","bine"
22548,"100","BONJOUR TOMAT 200G 19,95","bonjour tomat g"
27004,"100","BROCCOLIBL. 9,75","broccolibl"
9703,"100","BÅSISSALAT 209 G - 10,00","båsissalat g"
13790,"100","BØNNER GRØNNE 20,00","bønner grønne"
29231,"100","CHILI RØD 75G 18,00","chili rød g"
10715,"100","COCKTAILTOMAT 20,00","cocktailtomat"
0,"100","COOP PAPRIKA 7.50","coop paprika"
29194,"100","CRESTA SALAT 20,00","cresta salat"
29209,"100","DANSK ROMAINESALAT 20,00","dansk romainesalat"
15175,"100","DONUTFERSKNER 500G 12,00","donutferskner g"
18681,"100","FRANSK SALAT 75G 15,00","fransk salat g"
29194,"100","GOURMET SALAT 25,00","gourmet salat"
22543,"100","GRANATÆBLER 16,95","granatæbler"
28285,"100","GRYNTSAGER SOU/Zoo G i 11,95","gryntsager souzoo g i"
23768,"100","GRØNNE BOBBY BØNNER 18,00","grønne bobby bønner"
10623,"100","GRØNT 3,00","grønt"
0,"100","HELBL.SPINAT 22,00","helblspinat"
15155,"100","HOKKAIDO 15,00","hokkaido"
10707,"100","HVIDLØG I NET 7,00","hvidløg i net"
23886,"100","HVIDLØG SOLO 25,00","hvidløg solo"
29211,"100","INTENSITY TOMATER 20,00","intensity tomater"
17980,"100","KNOLDSELLERI 9,98","knoldselleri"
18677,"100","MARGHARITA 15,00","margharita"
22458,"100","ORANGERØDDER 7,00","orangerødder"
25311,"100","PASTINAKKER 16,95","pastinakker"
11041,"100","PEAS KOEKKENGROENT 7 11,15","peas koekkengroent"
24237,"100","PORRER, LØSE x3 12,00","porrer løse x"
29269,"100","RADISER M. TOP 8,00","radiser m top"
29209,"100","RADISER M/TOP 10,00","radiser mtop"
28281,"100","RET: — PORRER 12.00","ret porrer"
9353,"100","RODFRUGT MTX 15,00","rodfrugt mtx"
24229,"100","ROMAINESALAT 16,00","romainesalat"
12582,"100","ROSENKAL 12,00","rosenkal"
10668,"100","RØD PEBER x2 12,00","rød peber x"
19908,"100","SALATBAR 40,00","salatbar"
10668,"100","SNACKTOMATER 15,00","snacktomater"
28342,"100","SNITTET GRØNKÅL 18,00","snittet grønkål"
27004,"100","SOJABØNNER 15,95","sojabønner"
15629,"100","SPIDSK Al 12,00","spidsk al"
7366,"100","SPIDSKÅLSSALAT 22,00","spidskålssalat"
13984,"100","SPRINGLØG 8,00","springløg"
22494,"100","SQUASH x2 12,00","squash x"
24215,"100","STILKTOMATER 18,00","stilktomater"
13984,"100","SUGAR SNAPS 20,00","sugar snaps"
12867,"100","SUGARSNAPS 150G 15,00","sugarsnaps g"
29231,"100","SUKKERSNAPS 20,00","sukkersnaps"
12513,"100","SØD RØD PEBER 16,00","sød rød peber"
9428,"100","TNMATER I SPAND - 20,00","tnmater i spand"
25502,"100","TOMAT CHERRY BLOMME 26,00","tomat cherry blomme"
25499,"100","TOMAT COCKTAIL KL.1 18,00","tomat cocktail kl"
15222,"100","TOMAT COCKTAIL M/STI 25,00","tomat cocktail msti"
25371,"100","TOMAT SAN MARZARNO KL1 10,00","tomat san marzarno kl"
13784,"100","TOMAT WILDMIX 25,00","tomat wildmix"
23770,"100","TOMATER  LØSE x2 7,00","tomater løse x"
9350,"100","XL FAMILIESALAT 20,00","xl familiesalat"
0,"100","a.f. nyhuus rødløg","af nyhuus rødløg"
0,"100","agurk","agurk"
0,"100","agurk (sylt, m. dild), rå","agurk sylt m dild rå"
0,"100","agurk dansk (lille) øko.","agurk dansk lille øko"
0,"100","agurk øko.","agurk øko"
0,"100","agurmer","agurmer"
0,"100","andet salat","andet salat"
0,"100","aourk","aourk"
0,"100","aqurk","aqurk"
0,"100","arocccli","arocccli"
0,"100","artiskok","artiskok"
0,"100","asparges, grønne","asparges grønne"
0,"100","asparges, hvide","asparges hvide"
0,"100","aspargesbroccoli","aspargesbroccoli"
0,"100","asurk","asurk"
0,"100","aturk","aturk"
0,"100","aubergine","aubergine"
0,"100","aut erødder 1,5 c","aut erødder c"
0,"100","azuki bønner, kogt","azuki bønner kogt"
0,"100","azuki bønner, tørrede","azuki bønner tørrede"
0,"100","azuki bønnespirer","azuki bønnespirer"
0,"100","baby salatmix","baby salatmix"
0,"100","baby salatmix øko.","baby salatmix øko"
0,"100","baby spinat øko.","baby spinat øko"
0,"100","babyblomme tomater (400g)","babyblomme tomater g"
0,"100","babyhajs","babyhajs"
0,"100","babymajs","babymajs"
0,"100","babysalat mix","babysalat mix"
0,"100","babyspinat","babyspinat"
0,"100","babyspinat øko.","babyspinat øko"
0,"100","bambusskud (moso), rå","bambusskud moso rå"
0,"100","bananskalotteløg","bananskalotteløg"
0,"100","basissalat","basissalat"
0,"100","batat (sød kartoffel)","batat sød kartoffel"
0,"100","bionda salat","bionda salat"
0,"100","bl omkal","bl omkal"
0,"100","bl omkål","bl omkål"
0,"100","bl onkal","bl onkal"
0,"100","black garlic fermenteret hvidløg","black garlic fermenteret hvidløg"
0,"100","bladbede, sølvbede","bladbede sølvbede"
0,"100","bladselleri","bladselleri"
0,"100","blandet salat","blandet salat"
0,"100","blomkal","blomkal"
0,"100","blomkål","blomkål"
0,"100","blomme tomater","blomme tomater"
0,"100","blommecherry red desire","blommecherry red desire"
0,"100","blommetomater","blommetomater"
0,"100","brillant tomater","brillant tomater"
0,"100","brilliant tomater på stilk","brilliant tomater på stilk"
0,"100","brune bønner , tørrede","brune bønner tørrede"
0,"100","brune champignon","brune champignon"
0,"100","brøndkarse","brøndkarse"
0,"100","bulerodder hands.","bulerodder hands"
0,"100","bønnespirer","bønnespirer"
0,"100","c-salat blandet salat","csalat blandet salat"
0,"100","c-salat rucola","csalat rucola"
0,"100","caesar salat","caesar salat"
0,"100","carlens peberrod","carlens peberrod"
0,"100","carlsens peberrod","carlsens peberrod"
0,"100","cayote, keyote","cayote keyote"
0,"100","champ ignon","champ ignon"
0,"100","champ lgnon","champ lgnon"
0,"100","champ tgnon","champ tgnon"
0,"100","champignon","champignon"
0,"100","champignon 500 gram","champignon gram"
0,"100","champtgnon","champtgnon"
0,"100","cherry grill m. olie/urt","cherry grill m olieurt"
0,"100","cherry passion","cherry passion"
0,"100","cherry romantic","cherry romantic"
0,"100","cherry specials","cherry specials"
0,"100","cherry tomater","cherry tomater"
